UTC time,Local time,Forecast demand,Demand,Net generation,Total interchange,Coal,Natural gas,Nuclear,Petroleum,Hydro,Solar,Wind,Other
14Apr2020 5:00:00,"43,935","68,247","65,634","61,325","-4,994","17,203","20,740","9,430","2,720","1,294",0,"9,069",868
14Apr2020 6:00:00,"43,935","67,817","63,985","58,485","-6,235","15,994","19,399","9,428","2,830","1,189",0,"8,782",864
14Apr2020 7:00:00,"43,935","66,674","63,543","57,951","-6,239","15,486","19,795","9,397","2,880","1,227",0,"8,292",876
14Apr2020 8:00:00,"43,935","66,294","63,325","56,999","-6,905","14,959","19,073","9,417","2,753","1,175",0,"8,743",878
14Apr2020 9:00:00,"43,935","66,796","63,447","57,525","-6,618","14,674","19,028","9,440","2,674","1,161",0,"9,674",872
14Apr2020 10:00:00,"43,935","68,334","63,454","57,814","-6,467","14,488","18,919","9,520","2,633","1,151",0,"10,235",869
14Apr2020 11:00:00,"43,935","71,609","66,203","60,994","-6,130","16,003","20,222","9,570","2,705","1,180",0,"10,440",875
14Apr2020 12:00:00,"43,935","75,388","69,948","64,776","-6,019","18,060","21,368","9,582","2,902","1,763",0,"10,229",872
14Apr2020 13:00:00,"43,935","77,625","72,531","67,704","-5,647","20,150","22,299","9,590","3,120","2,399",24,"9,269",854
14Apr2020 14:00:00,"43,935","79,256","73,721","68,730","-5,800","21,367","22,220","9,593","3,111","2,428",71,"9,095",843
14Apr2020 15:00:00,"43,935","79,651","73,598","68,745","-5,850","20,581","21,718","9,597","2,914","1,965",140,"10,989",842
14Apr2020 16:00:00,"43,936","79,693","73,442","68,893","-5,652","19,762","21,392","9,599","2,788","1,716",168,"12,618",850
14Apr2020 17:00:00,"43,936","79,276","73,106","68,846","-5,416","18,998","20,955","9,601","2,841","1,483",153,"13,985",830
14Apr2020 18:00:00,"43,936","79,004","72,435","68,465","-5,167","18,494","20,330","9,596","2,777","1,381",190,"14,877",821
14Apr2020 19:00:00,"43,936","78,366","71,572","67,392","-5,365","17,866","20,184","9,595","2,618","1,365",178,"14,764",823
14Apr2020 20:00:00,"43,936","77,394","70,657","66,231","-5,539","17,286","19,888","9,603","2,797","1,290",191,"14,340",837
14Apr2020 21:00:00,"43,936","76,619","70,288","65,648","-5,691","17,111","20,099","9,598","2,889","1,278",177,"13,670",827
14Apr2020 22:00:00,"43,936","76,486","70,339","65,666","-5,617","17,747","20,877","9,598","2,937","1,269",178,"12,242",818
14Apr2020 23:00:00,"43,936","76,783","70,518","65,985","-5,393","19,316","21,824","9,592","3,107","1,282",146,"9,900",818
15Apr2020 0:00:00,"43,936","76,895","70,012","65,149","-5,669","20,163","22,176","9,598","3,170","1,761",54,"7,406",821
15Apr2020 1:00:00,"43,936","77,533","71,086","66,060","-5,888","21,403","23,372","9,594","3,291","2,595",8,"4,967",829
15Apr2020 2:00:00,"43,936","78,543","72,563","67,655","-5,661","23,230","24,647","9,598","3,436","2,576",0,"3,343",824
15Apr2020 3:00:00,"43,936","76,698","70,962","65,446","-6,147","22,806","23,466","9,602","3,468","2,016",0,"3,268",821
15Apr2020 4:00:00,"43,936","73,711","68,935","63,075","-6,301","21,805","22,780","9,606","3,460","1,385",0,"3,214",826
15Apr2020 5:00:00,"43,936","70,564","67,291","61,971","-5,577","21,866","22,205","9,607","3,470","1,223",0,"2,773",828
15Apr2020 6:00:00,"43,936","66,935","65,687","59,251","-6,932","21,007","20,964","9,608","3,351","1,170",0,"2,330",821
15Apr2020 7:00:00,"43,936","66,021","65,383","58,546","-6,947","20,252","21,223","9,607","3,013","1,196",0,"2,435",821
15Apr2020 8:00:00,"43,936","65,851","65,310","58,840","-6,801","20,337","21,266","9,606","2,918","1,167",0,"2,726",820
15Apr2020 9:00:00,"43,936","66,480","65,546","58,970","-6,803","20,307","21,332","9,616","2,826","1,172",0,"2,902",817
15Apr2020 10:00:00,"43,936","67,940","65,590","59,595","-6,306","20,715","21,698","9,628","2,928","1,134",0,"2,671",822
15Apr2020 11:00:00,"43,936","70,822","68,415","62,725","-6,144","22,566","23,010","9,640","3,181","1,232",0,"2,272",824
15Apr2020 12:00:00,"43,936","74,213","72,012","65,805","-6,887","23,266","24,288","9,648","3,231","2,661",0,"1,880",831
15Apr2020 13:00:00,"43,936","76,564","73,979","68,386","-6,259","24,388","25,954","9,659","3,480","2,603",22,"1,443",838
15Apr2020 14:00:00,"43,936","77,898","74,212","68,768","-6,121","24,732","26,087","9,652","3,600","2,654",92,"1,118",833
15Apr2020 15:00:00,"43,936","77,700","73,671","68,332","-6,101","24,313","26,025","9,628","3,585","2,559",140,"1,247",835
15Apr2020 16:00:00,"43,937","77,049","73,277","67,926","-6,089","23,810","25,958","9,632","3,522","2,432",172,"1,567",834
15Apr2020 17:00:00,"43,937","76,074","72,683","66,984","-6,450","23,581","25,693","9,638","3,458","1,614",199,"1,968",835
15Apr2020 18:00:00,"43,937","75,445","71,867","65,726","-6,827","22,842","25,254","9,633","3,160","1,298",181,"2,524",835
15Apr2020 19:00:00,"43,937","74,610","71,007","64,867","-6,781","22,155","24,585","9,640","3,059","1,287",211,"3,083",847
15Apr2020 20:00:00,"43,937","73,569","69,609","63,717","-6,496","21,248","23,996","9,658","3,086","1,215",191,"3,490",832
15Apr2020 21:00:00,"43,937","72,868","68,525","62,422","-6,679","20,311","23,354","9,685","3,064","1,220",188,"3,764",836
