"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"4/20/2020 12 a.m. EDT",33265,168,33671,7494,2884,136488,60173,81930
US48,"4/20/2020 1 a.m. EDT",28667,140,30648,7795,2888,127857,56656,81438
US48,"4/20/2020 2 a.m. EDT",28199,181,27926,7501,2587,122028,53521,81229
US48,"4/20/2020 3 a.m. EDT",27142,32,26413,7582,2135,118961,51343,81287
US48,"4/20/2020 4 a.m. EDT",25863,33,24712,7665,1938,118764,51751,81284
US48,"4/20/2020 5 a.m. EDT",25575,25,24208,7737,1909,119998,51918,81342
US48,"4/20/2020 6 a.m. EDT",24583,12,25439,7974,1949,126187,53841,81584
US48,"4/20/2020 7 a.m. EDT",24260,30,28350,7993,2153,132996,58207,81568
US48,"4/20/2020 8 a.m. EDT",24361,291,33202,8139,2403,139179,62723,81620
US48,"4/20/2020 9 a.m. EDT",24792,1228,36727,8329,2388,144282,65401,81689
US48,"4/20/2020 10 a.m. EDT",22395,5727,38642,8705,2337,148639,66624,81850
US48,"4/20/2020 11 a.m. EDT",21759,13374,37919,8751,2332,150955,67093,81855
US48,"4/20/2020 12 p.m. EDT",25807,16603,35824,8768,2113,150848,65431,81752
US48,"4/20/2020 1 p.m. EDT",29662,18891,35039,8777,1981,150738,63782,81675
US48,"4/20/2020 2 p.m. EDT",32826,21130,34213,8686,1923,148682,63215,81659
US48,"4/20/2020 3 p.m. EDT",35173,21015,33873,8222,1913,145876,61406,81646
US48,"4/20/2020 4 p.m. EDT",36221,20312,33501,8204,1869,146001,60509,81736
US48,"4/20/2020 5 p.m. EDT",37624,19447,33992,8266,1909,148785,60189,81881
US48,"4/20/2020 6 p.m. EDT",39650,17581,35456,8451,1903,150931,59761,81893
US48,"4/20/2020 7 p.m. EDT",40251,16510,36030,8651,1908,154494,60356,80094
US48,"4/20/2020 8 p.m. EDT",39656,12291,38219,8650,1899,156982,59829,80186
US48,"4/20/2020 9 p.m. EDT",38542,7003,38730,8651,1893,159874,61296,80236
US48,"4/20/2020 10 p.m. EDT",40396,1317,37423,8259,1867,156497,61283,80032
US48,"4/20/2020 11 p.m. EDT",42367,645,36105,8071,1796,147190,59545,80019
US48,"4/21/2020 12 a.m. EDT",40366,166,33027,7853,1778,134167,57280,80234
US48,"4/21/2020 1 a.m. EDT",43813,158,29600,7325,1889,126144,52645,79993
US48,"4/21/2020 2 a.m. EDT",42800,167,27849,7294,1975,118574,49282,81819
US48,"4/21/2020 3 a.m. EDT",41763,136,25342,7205,2191,112144,47976,81891
US48,"4/21/2020 4 a.m. EDT",40710,20,24652,7169,2406,110565,47492,81976
