"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/21/2020 12 a.m. EDT",40366,166,32862,8082,1778,134685,57280,82010,357607
US48,"4/21/2020 1 a.m. EDT",43813,158,29437,7561,1889,126668,52645,81772,344265
US48,"4/21/2020 2 a.m. EDT",42800,167,27681,7294,1975,118574,49282,81819,329890
US48,"4/21/2020 3 a.m. EDT",41763,136,25181,7205,2191,112144,47976,81891,318822
US48,"4/21/2020 4 a.m. EDT",40710,20,24645,7169,2406,110565,47492,81976,315358
US48,"4/21/2020 5 a.m. EDT",40602,27,23892,7209,2425,111419,47117,82044,315103
US48,"4/21/2020 6 a.m. EDT",39819,31,24579,7297,2701,117017,48067,82177,321957
US48,"4/21/2020 7 a.m. EDT",39062,332,26491,7591,2854,125619,51885,82239,336363
US48,"4/21/2020 8 a.m. EDT",36556,1812,30425,7689,3004,131365,56278,82273,349600
US48,"4/21/2020 9 a.m. EDT",35972,4681,33135,7815,3169,132768,58984,81954,358585
US48,"4/21/2020 10 a.m. EDT",33158,10471,35096,8204,3523,135151,61405,81504,368740
US48,"4/21/2020 11 a.m. EDT",31615,19366,34303,8426,3787,137679,63749,81417,409141
US48,"4/21/2020 12 p.m. EDT",33599,23132,33536,8485,3949,140190,63925,81421,388294
US48,"4/21/2020 1 p.m. EDT",37026,24187,32140,8538,3943,143706,62458,81452,393386
US48,"4/21/2020 2 p.m. EDT",39027,24101,31527,8549,3781,148919,64646,81467,402182
US48,"4/21/2020 3 p.m. EDT",40749,23543,32392,8210,3522,148711,63571,81438,402310
US48,"4/21/2020 4 p.m. EDT",42481,24013,31980,8219,3582,149898,63733,81407,405524
US48,"4/21/2020 5 p.m. EDT",43618,23261,32536,8138,3656,151047,63779,81400,407573
US48,"4/21/2020 6 p.m. EDT",43935,21435,34278,13351,3606,155383,64564,81456,413038
US48,"4/21/2020 7 p.m. EDT",43234,18765,35697,8243,3689,155860,65387,79763,410857
US48,"4/21/2020 8 p.m. EDT",42157,14665,36794,8524,3826,159445,67182,79851,412618
US48,"4/21/2020 9 p.m. EDT",43095,9106,38487,8331,3818,156547,66829,79886,406129
US48,"4/21/2020 10 p.m. EDT",48604,1752,38188,8172,3744,152605,65790,79940,398881
US48,"4/21/2020 11 p.m. EDT",53041,232,35627,8102,3189,144514,61397,79980,386136
US48,"4/22/2020 12 a.m. EDT",59220,707,32887,7359,2543,128438,54907,80711,366789
US48,"4/22/2020 1 a.m. EDT",54512,138,30116,7497,2213,121970,51969,79901,348376
US48,"4/22/2020 2 a.m. EDT",55084,138,26540,7452,2054,115399,49933,81695,338320
US48,"4/22/2020 3 a.m. EDT",53367,135,25364,7376,1890,110166,48943,81852,329108
US48,"4/22/2020 4 a.m. EDT",52774,36,23963,7241,1728,108841,48754,81931,325277
US48,"4/22/2020 5 a.m. EDT",52851,25,23029,7152,1709,109544,49346,82001,325714
US48,"4/22/2020 6 a.m. EDT",52522,23,25003,7271,1747,114535,50744,82383,334214
US48,"4/22/2020 7 a.m. EDT",51959,457,29020,7369,1989,119861,53460,82629,346752
US48,"4/22/2020 8 a.m. EDT",50779,2091,32636,7436,2338,123834,56242,82892,358256
US48,"4/22/2020 9 a.m. EDT",50090,4738,34958,7594,2245,128745,57529,82963,368812
US48,"4/22/2020 10 a.m. EDT",49051,11032,36439,7764,2235,129286,57389,83014,376221
US48,"4/22/2020 11 a.m. EDT",46736,20850,35238,7658,2242,128084,59267,83039,383170
US48,"4/22/2020 12 p.m. EDT",47263,24884,33716,7695,2232,127993,58639,83100,385681
US48,"4/22/2020 1 p.m. EDT",48108,26787,33409,7761,2323,129675,58180,83104,389613
US48,"4/22/2020 2 p.m. EDT",49538,26872,33224,7495,2418,130635,57795,83066,391518
US48,"4/22/2020 3 p.m. EDT",48825,26938,33807,7319,2499,133251,57293,82951,393200
US48,"4/22/2020 4 p.m. EDT",48936,26358,34157,7336,2465,136361,56305,82930,395140
US48,"4/22/2020 5 p.m. EDT",49142,25160,34279,7457,2494,140481,57196,82967,399467
US48,"4/22/2020 6 p.m. EDT",49608,21274,35924,7382,2420,145714,58850,82972,404470
US48,"4/22/2020 7 p.m. EDT",50933,18005,37057,7441,2639,148887,59131,81204,405641
US48,"4/22/2020 8 p.m. EDT",51570,15677,38372,7563,2637,149971,60822,81248,408034
US48,"4/22/2020 9 p.m. EDT",50187,9852,41357,7458,2775,152954,60818,81208,406777
US48,"4/22/2020 10 p.m. EDT",48229,2072,40628,7045,2799,152543,62385,81177,397127
US48,"4/22/2020 11 p.m. EDT",45888,1025,39084,6841,2803,147687,60416,81159,384435
US48,"4/23/2020 12 a.m. EDT",40547,263,36416,7065,2757,142450,58363,80315,368615
US48,"4/23/2020 1 a.m. EDT",42684,251,32117,6687,2509,130438,53941,81139,350175
US48,"4/23/2020 2 a.m. EDT",36861,128,28087,6686,2423,127458,53010,82873,337704
US48,"4/23/2020 3 a.m. EDT",35298,115,26349,6723,2427,121737,50142,82909,325889
US48,"4/23/2020 4 a.m. EDT",34421,22,25311,6801,2609,120002,49336,82936,321603
US48,"4/23/2020 5 a.m. EDT",33270,11,25520,6838,2723,120659,49179,82940,321410
US48,"4/23/2020 6 a.m. EDT",32627,8,25897,6936,2788,123752,52005,83102,326889
US48,"4/23/2020 7 a.m. EDT",32469,69,28422,7078,2732,127312,55828,83171,336781
US48,"4/23/2020 8 a.m. EDT",31835,513,31875,7118,2797,132486,60850,83248,350303
US48,"4/23/2020 9 a.m. EDT",30934,1896,33892,7293,3016,137822,62912,83266,360560
