date,finished-motor-gasoline-supplied(thousand-barrels)
1945,579343
1946,722512
1947,773408
1948,834550
1949,879721
1950,954773
1951,1089566
1952,1080990
1953,1135063
1954,1165627
1955,1264064
1956,1298476
1957,1319537
1958,1354411
1959,1408852
1960,1452656
1961,1475646
1962,1532608
1963,1581946
1964,1611348
1965,1676304
1966,1754932
1967,1809783
1968,1925377
1969,2016995
1970,2111349
1971,2195268
1972,2333778
1973,2436156
1974,2386176
1975,2436228
1976,2553834
1977,2619540
1978,2705308
1979,2567573
1980,2407747
1981,2404448
1982,2386824
1983,2417084
1984,2449461
1985,2493361
1986,2567435
1987,2630089
1988,2685146
1989,2674670
1990,2640742
1991,2623444
1992,2659913
1993,2728850
1994,2774499
1995,2842855
1996,2887954
1997,2926148
1998,3012497
1999,3077242
2000,3100774
2001,3142660
2002,3229459
2003,3261237
2004,3332579
2005,3343131
2006,3377174
2007,3389269
2008,3290057
2009,3283730
2010,3282319
2011,3194754
2012,3177687
2013,3227689
2014,3256107
2015,3350106
2016,3410051
2017,3404186
2018,3405079
2019,3385017
