"Region Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"2/1/2019 12 a.m. EST",496392,24680,10,34360,9023,4401,149521,167371,104460
US48,"2/1/2019 1 a.m. EST",471287,23800,13,31073,8368,4180,139138,159198,103225
US48,"2/1/2019 2 a.m. EST",460089,23920,6,27337,9461,3415,137001,153941,103062
US48,"2/1/2019 3 a.m. EST",453415,23621,7,26307,9514,3426,134803,151426,102823
US48,"2/1/2019 4 a.m. EST",451717,22857,10,25314,9393,3460,135599,150808,102866
US48,"2/1/2019 5 a.m. EST",456227,21319,5,25748,9570,3876,138767,152485,102846
US48,"2/1/2019 6 a.m. EST",471851,19340,14,30504,9861,4521,147792,155042,102945
US48,"2/1/2019 7 a.m. EST",498056,17546,50,38012,9214,5529,163386,159002,103130
US48,"2/1/2019 8 a.m. EST",517171,16552,346,42399,9369,5682,172958,164362,103165
US48,"2/1/2019 9 a.m. EST",523810,16307,1558,44372,9339,5132,174910,166751,103189
US48,"2/1/2019 10 a.m. EST",518047,16552,3969,42567,9000,4948,171892,164232,103241
US48,"2/1/2019 11 a.m. EST",513050,16024,9960,39381,9822,4085,167862,161234,103255
US48,"2/1/2019 12 p.m. EST",500146,15579,14561,34220,9001,4706,160255,157313,103245
US48,"2/1/2019 1 p.m. EST",487170,15944,15734,31996,8801,4432,154251,151779,103250
US48,"2/1/2019 2 p.m. EST",479048,17966,15009,30584,8672,4433,150560,147754,103343
US48,"2/1/2019 3 p.m. EST",471884,20430,14767,28826,8646,4402,147014,143460,103514
US48,"2/1/2019 4 p.m. EST",468169,22622,13630,29278,8733,4456,145295,139489,103626
US48,"2/1/2019 5 p.m. EST",468778,23923,11630,31175,9634,3582,146536,137340,103663
US48,"2/1/2019 6 p.m. EST",475840,25166,7864,34765,8987,4429,150167,139187,103643
US48,"2/1/2019 7 p.m. EST",483942,27750,3556,37519,8951,4543,153674,142224,103768
US48,"2/1/2019 8 p.m. EST",490887,33106,654,39439,8878,4693,153700,144201,103942
US48,"2/1/2019 9 p.m. EST",488084,38721,355,39816,8947,4498,149063,140373,104027
US48,"2/1/2019 10 p.m. EST",478646,43929,234,38358,9017,4359,140440,135620,104113
US48,"2/1/2019 11 p.m. EST",465381,47439,226,35692,9351,3349,133757,128723,103979
US48,"2/2/2019 12 a.m. EST",457040,46898,42,34065,9454,3443,128603,128551,102917
US48,"2/2/2019 1 a.m. EST",435227,48654,20,31323,7182,4211,120071,116667,104165
US48,"2/2/2019 2 a.m. EST",422699,48252,25,27471,6760,3831,115141,114234,104238
US48,"2/2/2019 3 a.m. EST",415164,49399,26,26499,7671,2789,111276,110674,104203
US48,"2/2/2019 4 a.m. EST",412512,48806,30,25826,7653,2860,110263,110062,104256
US48,"2/2/2019 5 a.m. EST",414528,48676,33,25367,7672,2795,112199,110474,104286
US48,"2/2/2019 6 a.m. EST",421669,48142,32,27722,7595,3006,115619,112404,104309
US48,"2/2/2019 7 a.m. EST",433671,47932,59,31662,7613,3196,121223,115027,104349
US48,"2/2/2019 8 a.m. EST",446468,48510,548,34588,7790,3283,128602,116071,104317
US48,"2/2/2019 9 a.m. EST",454860,48546,1957,35044,6852,4074,131932,119734,104266
US48,"2/2/2019 10 a.m. EST",455781,46750,4076,35306,6892,4181,131302,120875,104311
US48,"2/2/2019 11 a.m. EST",453569,44811,7231,33058,6818,4095,131518,119969,104310
US48,"2/2/2019 12 p.m. EST",446491,44888,9546,32828,6782,3973,126220,116679,104317
US48,"2/2/2019 1 p.m. EST",437196,46821,11203,30649,6692,3959,122899,109964,104260
US48,"2/2/2019 2 p.m. EST",429999,46451,12920,29516,6604,3934,119898,105823,104245
US48,"2/2/2019 3 p.m. EST",423067,44916,10899,29809,6638,4034,119661,102128,104254
US48,"2/2/2019 4 p.m. EST",419097,43683,9568,29033,6635,4028,119964,100933,104262
US48,"2/2/2019 5 p.m. EST",421628,44416,7816,29973,6803,3989,121850,100969,104246
US48,"2/2/2019 6 p.m. EST",429715,44606,5777,31786,7873,3096,126186,104259,104231
US48,"2/2/2019 7 p.m. EST",436756,44254,2941,34410,7780,3331,130002,107539,104219
US48,"2/2/2019 8 p.m. EST",443446,45380,352,35943,6921,4356,131290,112273,104245
US48,"2/2/2019 9 p.m. EST",439981,48470,180,37423,7712,3331,127159,109022,104162
US48,"2/2/2019 10 p.m. EST",433757,50204,79,36361,7856,3447,122474,106904,103971
US48,"2/2/2019 11 p.m. EST",420773,50339,98,34523,7674,3390,115477,102473,104127
US48,"2/3/2019 12 a.m. EST",422995,50051,101,32062,7761,2504,114624,109106,104274
US48,"2/3/2019 1 a.m. EST",393954,52771,97,29205,7502,2297,102697,92896,104143
