"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"3/1/2019 12 a.m. EST",16943,193,34324,8054,3331,145730,103976,95931,442443
US48,"3/1/2019 1 a.m. EST",15624,190,30811,7522,3025,139277,100298,95755,425061
US48,"3/1/2019 2 a.m. EST",18703,82,27721,7480,2918,142410,113007,97886,410976
US48,"3/1/2019 3 a.m. EST",17819,72,25849,7460,2880,138429,113104,97902,404381
US48,"3/1/2019 4 a.m. EST",17554,59,26265,7400,2952,137730,111379,98076,402230
US48,"3/1/2019 5 a.m. EST",16534,55,26113,7366,2971,140958,113808,98141,406934
US48,"3/1/2019 6 a.m. EST",17129,82,28352,7782,3217,149570,115052,98163,420371
US48,"3/1/2019 7 a.m. EST",17140,118,36612,8263,3566,163597,118729,98335,447448
US48,"3/1/2019 8 a.m. EST",16518,414,42696,8586,3755,175223,124175,98423,470924
US48,"3/1/2019 9 a.m. EST",15769,1004,43273,8825,4002,182598,126876,98452,481878
US48,"3/1/2019 10 a.m. EST",13804,3407,45643,9448,4030,182658,127053,98449,485424
US48,"3/1/2019 11 a.m. EST",11524,8303,44312,9488,4068,181171,128490,98473,486771
US48,"3/1/2019 12 p.m. EST",10269,12845,39869,9289,4200,176467,127609,98613,480402
US48,"3/1/2019 1 p.m. EST",10300,14866,37814,8480,3935,172877,126307,98617,474466
US48,"3/1/2019 2 p.m. EST",10665,14674,36904,8685,3962,170108,126294,98512,471095
US48,"3/1/2019 3 p.m. EST",11952,13750,34506,8974,3887,168644,124656,98390,466114
US48,"3/1/2019 4 p.m. EST",13006,11450,34319,8983,3598,167768,123644,98465,462591
US48,"3/1/2019 5 p.m. EST",14841,10097,34572,9263,3465,166795,123703,98504,462421
US48,"3/1/2019 6 p.m. EST",17297,7619,36012,9554,3144,168804,123892,98167,465746
US48,"3/1/2019 7 p.m. EST",18159,4800,38203,9607,3010,172417,125163,97840,470625
US48,"3/1/2019 8 p.m. EST",19487,1348,41018,9625,3113,175526,125898,97554,475072
US48,"3/1/2019 9 p.m. EST",23972,573,41544,9125,2838,172228,124252,97269,472939
US48,"3/1/2019 10 p.m. EST",26918,185,40904,8476,2375,166212,121410,97050,464635
US48,"3/1/2019 11 p.m. EST",29415,98,39154,8265,1994,156808,117498,96667,450815
US48,"3/2/2019 12 a.m. EST",32064,76,35865,8104,2364,148966,108355,95590,432257
US48,"3/2/2019 1 a.m. EST",28950,72,33413,7704,2209,137089,110804,95925,417015
